CloneID	dbEST_ID	GenBank_Accn	CloneName
CA1530	25201324	CV090536	T-complex protein 1 epsilon subunit
CA1530	25201324	CV090536	T-complex protein 1 epsilon subunit
CA1531	25201325	CV090537	dehydrin
CA1531	25201325	CV090537	dehydrin
CA1532	25201326	CV090538	probable gag/pol polyprotein
CA1532	25201326	CV090538	probable gag/pol polyprotein
CA1532	25201326	CV090538	probable gag/pol polyprotein
CA1533	25201327	CV090539	No similarity
CA1533	25201327	CV090539	No similarity
CA1533	25201327	CV090539	No similarity
CA1534	Not submitted	Not submitted	No similarity
CA1534	Not submitted	Not submitted	No similarity
CA1534	Not submitted	Not submitted	No similarity
CA1535	25201328	CV090540	No similarity
CA1535	25201328	CV090540	No similarity
CA1535	25201328	CV090540	No similarity
CA1536	25201329	CV090541	cytosolic aldolase
CA1536	25201329	CV090541	cytosolic aldolase
CA1536	25201329	CV090541	cytosolic aldolase
CA1538	25201331	CV090543	cysteine protease component of protease-inhibitor complex
CA1538	25201331	CV090543	cysteine protease component of protease-inhibitor complex
CA1538	25201331	CV090543	cysteine protease component of protease-inhibitor complex
CA1539	25201332	CV090544	Heat shock protein hslJ [Escherichia coli CFT073]
CA1539	25201332	CV090544	Heat shock protein hslJ [Escherichia coli CFT073]
CA154	20189919	CF810474	Hypothetical protein
CA154	20189919	CF810474	Hypothetical protein
CA154	20189919	CF810474	Hypothetical protein
CA1542	25201334	CV090546	OSJNBb0021A09.5
CA1542	25201334	CV090546	OSJNBb0021A09.5
CA1542	25201334	CV090546	OSJNBb0021A09.5
CA1544	25201336	CV090548	expressed protein
CA1544	25201336	CV090548	expressed protein
CA1544	25201336	CV090548	expressed protein
CA1545	25201337	CV090549	enolase
CA1545	25201337	CV090549	enolase
CA1545	25201337	CV090549	enolase
CA1546	25201338	CV090550	60S ribosomal protein L5
CA1546	25201338	CV090550	60S ribosomal protein L5
CA1546	25201338	CV090550	60S ribosomal protein L5
CA1547	25201339	CV090551	F1E22.9
CA1547	25201339	CV090551	F1E22.9
CA1547	25201339	CV090551	F1E22.9
CA1548	25201340	CV090552	RAS-RELATED PROTEIN RIC2
CA1548	25201340	CV090552	RAS-RELATED PROTEIN RIC2
CA1548	25201340	CV090552	RAS-RELATED PROTEIN RIC2
CA1550	25201341	CV090553	cysteine protease component of protease-inhibitor complex
CA1550	25201341	CV090553	cysteine protease component of protease-inhibitor complex
CA1550	25201341	CV090553	cysteine protease component of protease-inhibitor complex
CA1551	25201342	CV090554	No similarity
CA1552	25201343	CV090555	ADP-RIBOSYLATION FACTOR 1
CA1552	25201343	CV090555	ADP-RIBOSYLATION FACTOR 1
CA1552	25201343	CV090555	ADP-RIBOSYLATION FACTOR 1
CA1553	25201344	CV090556	FH protein NFH1
CA1553	25201344	CV090556	FH protein NFH1
CA1553	25201344	CV090556	FH protein NFH1
CA1555	25201345	CV090557	sucrose cleavage protein
CA1555	25201345	CV090557	sucrose cleavage protein
CA1555	25201345	CV090557	sucrose cleavage protein
CA1556	25201346	CV090558	inorganic pyrophosphatase (EC 3.6.1.1)
CA1556	25201346	CV090558	inorganic pyrophosphatase (EC 3.6.1.1)
CA1556	25201346	CV090558	inorganic pyrophosphatase (EC 3.6.1.1)
CA1557	25201347	CV090559	ENOLASE (2-PHOSPHOGLYCERATE DEHYDRATASE)
CA1557	25201347	CV090559	ENOLASE (2-PHOSPHOGLYCERATE DEHYDRATASE)
CA1557	25201347	CV090559	ENOLASE (2-PHOSPHOGLYCERATE DEHYDRATASE)
CA1558	25201348	CV090560	inhibitor component IV,protease
CA1558	25201348	CV090560	inhibitor component IV,protease
CA1558	25201348	CV090560	inhibitor component IV,protease
CA156	20189921	CF810476	Putative beta amylase
CA156	20189921	CF810476	Putative beta amylase
CA156	20189921	CF810476	Putative beta amylase
CA156	20189921	CF810476	Putative beta amylase
CA156	20189921	CF810476	Putative beta amylase
CA156	20189921	CF810476	Putative beta amylase
CA1560	25201349	CV090561	S6 ribosomal protein
CA1560	25201349	CV090561	S6 ribosomal protein
CA1560	25201349	CV090561	S6 ribosomal protein
CA1562	25201350	CV090562	putative carboxyphosphonoenolpyruvate mutase
CA1562	25201350	CV090562	putative carboxyphosphonoenolpyruvate mutase
CA1562	25201350	CV090562	putative carboxyphosphonoenolpyruvate mutase
CA1563	25201351	CV090563	sorting nexin-like protein
CA1564	25201352	CV090564	ADP-RIBOSYLATION FACTOR
CA1564	25201352	CV090564	ADP-RIBOSYLATION FACTOR
CA1564	25201352	CV090564	ADP-RIBOSYLATION FACTOR
CA1565	25201353	CV090565	CG17396 gene product
CA1565	25201353	CV090565	CG17396 gene product
CA1565	25201353	CV090565	CG17396 gene product
CA1567	25201354	CV090566	sucrose cleavage protein
CA1567	25201354	CV090566	sucrose cleavage protein
CA1567	25201354	CV090566	sucrose cleavage protein
CA1568	25201355	CV090567	ADP,ATP CARRIER PROTEIN PRECURSOR (ADP/ATP TRANSLOCASE)
CA1568	25201355	CV090567	ADP,ATP CARRIER PROTEIN PRECURSOR (ADP/ATP TRANSLOCASE)
CA1568	25201355	CV090567	ADP,ATP CARRIER PROTEIN PRECURSOR (ADP/ATP TRANSLOCASE)
CA1569	25201356	CV090568	CG17396 gene product
CA1569	25201356	CV090568	CG17396 gene product
CA1569	25201356	CV090568	CG17396 gene product
CA157	20189922	CF810477	Unknown protein
CA157	20189922	CF810477	Unknown protein
CA157	20189922	CF810477	Unknown protein
CA157	20189922	CF810477	Unknown protein
CA157	20189922	CF810477	Unknown protein
CA157	20189922	CF810477	Unknown protein
CA1570	25201357	CV090569	No similarity
CA1570	25201357	CV090569	No similarity
CA1570	25201357	CV090569	No similarity
CA1571	25201358	CV090570	hypothetical protein T10K17.160
CA1571	25201358	CV090570	hypothetical protein T10K17.160
CA1571	25201358	CV090570	hypothetical protein T10K17.160
CA1572	25201359	CV090571	Putative heat shock protein
CA1572	25201359	CV090571	Putative heat shock protein
CA1572	25201359	CV090571	Putative heat shock protein
CA1573	25201360	CV090572	lipid transfer protein precursor
CA1573	25201360	CV090572	lipid transfer protein precursor
CA1573	25201360	CV090572	lipid transfer protein precursor
CA1574	25201361	CV090573	putative importin (nuclear transport factor ) protein 
CA1574	25201361	CV090573	putative importin (nuclear transport factor ) protein 
CA1574	25201361	CV090573	putative importin (nuclear transport factor ) protein 
CA1576	25201363	CV090575	26S proteasome subunit-like protein
CA1576	25201363	CV090575	26S proteasome subunit-like protein
CA1576	25201363	CV090575	26S proteasome subunit-like protein
CA158	20189923	CF810478	Putative protein
CA158	20189923	CF810478	Putative protein
CA158	20189923	CF810478	Putative protein
CA158	20189923	CF810478	Putative protein
CA158	20189923	CF810478	Putative protein
CA158	20189923	CF810478	Putative protein
CA1580	25201364	CV090576	No similarity
CA1580	25201364	CV090576	No similarity
CA1580	25201364	CV090576	No similarity
CA1581	25201365	CV090577	CG17396 gene product
CA1581	25201365	CV090577	CG17396 gene product
CA1581	25201365	CV090577	CG17396 gene product
CA1582	25201366	CV090578	cocaine attenuated zinc-finger protein
CA1582	25201366	CV090578	cocaine attenuated zinc-finger protein
CA1582	25201366	CV090578	cocaine attenuated zinc-finger protein
CA1583	25201367	CV090579	plastoglobule associated protein PG1 precursor [Pisum sativum]
CA1583	25201367	CV090579	plastoglobule associated protein PG1 precursor [Pisum sativum]
CA1583	25201367	CV090579	plastoglobule associated protein PG1 precursor [Pisum sativum]
CA1584	25201368	CV090580	F14M2.7 protein - Arabidopsis thaliana
CA1584	25201368	CV090580	F14M2.7 protein - Arabidopsis thaliana
CA1584	25201368	CV090580	F14M2.7 protein - Arabidopsis thaliana
CA1585	25201369	CV090581	lipid transfer protein precursor
CA1585	25201369	CV090581	lipid transfer protein precursor
CA1585	25201369	CV090581	lipid transfer protein precursor
CA1586	25201370	CV090582	putative importin (nuclear transport factor ) protein 
CA1586	25201370	CV090582	putative importin (nuclear transport factor ) protein 
CA1586	25201370	CV090582	putative importin (nuclear transport factor ) protein 
CA1588	25201372	CV090584	26S proteasome subunit-like protein
CA1588	25201372	CV090584	26S proteasome subunit-like protein
CA1588	25201372	CV090584	26S proteasome subunit-like protein
CA1589	25201373	CV090585	MALATE DEHYDROGENASE, CYTOPLASMIC 1
CA1589	25201373	CV090585	MALATE DEHYDROGENASE, CYTOPLASMIC 1
CA1589	25201373	CV090585	MALATE DEHYDROGENASE, CYTOPLASMIC 1
CA1590	25201374	CV090586	embryonic protein ecp31
CA1590	25201374	CV090586	embryonic protein ecp31
CA1590	25201374	CV090586	embryonic protein ecp31
CA1591	25201375	CV090587	nucleolar protein
CA1591	25201375	CV090587	nucleolar protein
CA1591	25201375	CV090587	nucleolar protein
CA1592	25201376	CV090588	putative DnaJ protein
CA1592	25201376	CV090588	putative DnaJ protein
CA1592	25201376	CV090588	putative DnaJ protein
CA1593	25201377	CV090589	PROLIFERATING CELL NUCLEAR ANTIGEN, LARGE FORM 
CA1593	25201377	CV090589	PROLIFERATING CELL NUCLEAR ANTIGEN, LARGE FORM 
CA1593	25201377	CV090589	PROLIFERATING CELL NUCLEAR ANTIGEN, LARGE FORM 
CA1594	25201378	CV090590	hypothetical protein F13M22.2
CA1594	25201378	CV090590	hypothetical protein F13M22.2
CA1594	25201378	CV090590	hypothetical protein F13M22.2
CA1595	25201379	CV090591	UDP-glucose glucosyltransferase
CA1595	25201379	CV090591	UDP-glucose glucosyltransferase
CA1595	25201379	CV090591	UDP-glucose glucosyltransferase
CA1597	25201380	CV090592	hypothetical protein R1
CA1597	25201380	CV090592	hypothetical protein R1
CA1597	25201380	CV090592	hypothetical protein R1
CA1598	25201381	CV090593	hypothetical protein F5K20.290
CA1598	25201381	CV090593	hypothetical protein F5K20.290
CA1598	25201381	CV090593	hypothetical protein F5K20.290
CA1599	25201382	CV090594	acetyl-CoA carboxylase (EC 6.4.1.2), biotin carboxylase
CA1600	25201383	CV090595	Unknown protein
CA1600	25201383	CV090595	Unknown protein
CA1600	25201383	CV090595	Unknown protein
CA1601	25201384	CV090596	Putative flavonol sulfotransferase
CA1601	25201384	CV090596	Putative flavonol sulfotransferase
CA1601	25201384	CV090596	Putative flavonol sulfotransferase
CA1602	25201385	CV090597	stretch regulated skeletal muscle protein
CA1602	25201385	CV090597	stretch regulated skeletal muscle protein
CA1602	25201385	CV090597	stretch regulated skeletal muscle protein
CA1604	25201386	CV090598	putative DnaJ protein
CA1604	25201386	CV090598	putative DnaJ protein
CA1604	25201386	CV090598	putative DnaJ protein
CA1605	25201387	CV090599	hypothetical protein
CA1605	25201387	CV090599	hypothetical protein
CA1605	25201387	CV090599	hypothetical protein
CA1606	25201388	CV090600	MutF
CA1606	25201388	CV090600	MutF
CA1606	25201388	CV090600	MutF
CA1607	25201389	CV090601	UDP-glucose dehydrogenase-like protein
CA1607	25201389	CV090601	UDP-glucose dehydrogenase-like protein
CA1607	25201389	CV090601	UDP-glucose dehydrogenase-like protein
CA1608	25201390	CV090602	GRANULE-BOUND GLYCOGEN [STARCH] SYNTHASE PRECURSOR (GBSSI)
CA1608	25201390	CV090602	GRANULE-BOUND GLYCOGEN [STARCH] SYNTHASE PRECURSOR (GBSSI)
CA1608	25201390	CV090602	GRANULE-BOUND GLYCOGEN [STARCH] SYNTHASE PRECURSOR (GBSSI)
CA1609	25201391	CV090603	GRANULE-BOUND GLYCOGEN [STARCH] SYNTHASE PRECURSOR (GBSSI)
CA1609	25201391	CV090603	GRANULE-BOUND GLYCOGEN [STARCH] SYNTHASE PRECURSOR (GBSSI)
CA1609	25201391	CV090603	GRANULE-BOUND GLYCOGEN [STARCH] SYNTHASE PRECURSOR (GBSSI)
CA1610	Not submitted	Not submitted	No similarity
CA1610	Not submitted	Not submitted	No similarity
CA1610	Not submitted	Not submitted	No similarity
CA1612	25201392	CV090604	Unknown protein
CA1612	25201392	CV090604	Unknown protein
CA1612	25201392	CV090604	Unknown protein
CA1614	25201393	CV090605	hypothetical protein W01H2.1
CA1614	25201393	CV090605	hypothetical protein W01H2.1
CA1614	25201393	CV090605	hypothetical protein W01H2.1
CA1615	25201394	CV090606	unnamed protein product [Arabidopsis thaliana]
CA1615	25201394	CV090606	unnamed protein product [Arabidopsis thaliana]
CA1615	25201394	CV090606	unnamed protein product [Arabidopsis thaliana]
CA1616	25201395	CV090607	No similarity
CA1616	25201395	CV090607	No similarity
CA1616	25201395	CV090607	No similarity
CA1617	25201396	CV090608	hypothetical protein F7H19.140
CA1617	25201396	CV090608	hypothetical protein F7H19.140
CA1617	25201396	CV090608	hypothetical protein F7H19.140
CA1618	25201397	CV090609	trehalose-6-phosphate phosphatase (TPPA) [Arabidopsis thaliana]
CA1618	25201397	CV090609	trehalose-6-phosphate phosphatase (TPPA) [Arabidopsis thaliana]
CA1618	25201397	CV090609	trehalose-6-phosphate phosphatase (TPPA) [Arabidopsis thaliana]
CA1619	25201398	CV090610	RNA helicase-like protein
CA1621	25201399	CV090611	ATP-dependent Clp protease ATP-binding subunit precursor [Oryza
CA1621	25201399	CV090611	ATP-dependent Clp protease ATP-binding subunit precursor [Oryza
CA1621	25201399	CV090611	ATP-dependent Clp protease ATP-binding subunit precursor [Oryza
CA1623	25201400	CV090612	AT3g51050/F24M12_90 [Arabidopsis thaliana]
CA1623	25201400	CV090612	AT3g51050/F24M12_90 [Arabidopsis thaliana]
CA1623	25201400	CV090612	AT3g51050/F24M12_90 [Arabidopsis thaliana]
CA1624	25201401	CV090613	NA
CA1624	25201401	CV090613	NA
CA1624	25201401	CV090613	NA
CA1625	25201402	CV090614	NA
CA1625	25201402	CV090614	NA
CA1625	25201402	CV090614	NA
CA1626	25201403	CV090615	senescence-associated protein -related [Arabidopsis thaliana]
CA1626	25201403	CV090615	senescence-associated protein -related [Arabidopsis thaliana]
CA1626	25201403	CV090615	senescence-associated protein -related [Arabidopsis thaliana]
CA1627	25201404	CV090616	expressed protein [Arabidopsis thaliana]
CA1627	25201404	CV090616	expressed protein [Arabidopsis thaliana]
CA1627	25201404	CV090616	expressed protein [Arabidopsis thaliana]
CA1628	25201405	CV090617	expressed protein [Arabidopsis thaliana]
CA1628	25201405	CV090617	expressed protein [Arabidopsis thaliana]
CA1628	25201405	CV090617	expressed protein [Arabidopsis thaliana]
CA1629	25201406	CV090618	cullin 1C [Nicotiana tabacum]
CA1629	25201406	CV090618	cullin 1C [Nicotiana tabacum]
CA1629	25201406	CV090618	cullin 1C [Nicotiana tabacum]
CA163	20189927	CF810482	DNA directed polymerase II
CA163	20189927	CF810482	DNA directed polymerase II
CA163	20189927	CF810482	DNA directed polymerase II
CA163	20189927	CF810482	DNA directed polymerase II
CA163	20189927	CF810482	DNA directed polymerase II
CA163	20189927	CF810482	DNA directed polymerase II
CA1630	25201407	CV090619	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial
CA1630	25201407	CV090619	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial
CA1630	25201407	CV090619	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial
CA1631	25201408	CV090620	phosphoribosylanthranilate isomerase (PAI1) [Arabidopsis thaliana]
CA1631	25201408	CV090620	phosphoribosylanthranilate isomerase (PAI1) [Arabidopsis thaliana]
CA1631	25201408	CV090620	phosphoribosylanthranilate isomerase (PAI1) [Arabidopsis thaliana]
CA1632	25201409	CV090621	SNF2 domain/helicase domain-containing protein [Arabidopsis
CA1632	25201409	CV090621	SNF2 domain/helicase domain-containing protein [Arabidopsis
CA1632	25201409	CV090621	SNF2 domain/helicase domain-containing protein [Arabidopsis
CA1634	25201410	CV090622	emb|CAB39630.1~gene_id:MUJ8.8~strong similarity to unknown protein
CA1634	25201410	CV090622	emb|CAB39630.1~gene_id:MUJ8.8~strong similarity to unknown protein
CA1634	25201410	CV090622	emb|CAB39630.1~gene_id:MUJ8.8~strong similarity to unknown protein
CA1634	25201410	CV090622	emb|CAB39630.1~gene_id:MUJ8.8~strong similarity to unknown protein
CA1634	25201410	CV090622	emb|CAB39630.1~gene_id:MUJ8.8~strong similarity to unknown protein
CA1634	25201410	CV090622	emb|CAB39630.1~gene_id:MUJ8.8~strong similarity to unknown protein
CA1635	25201411	CV090623	expressed protein [Arabidopsis thaliana]
CA1635	25201411	CV090623	expressed protein [Arabidopsis thaliana]
CA1635	25201411	CV090623	expressed protein [Arabidopsis thaliana]
CA1635	25201411	CV090623	expressed protein [Arabidopsis thaliana]
CA1635	25201411	CV090623	expressed protein [Arabidopsis thaliana]
CA1635	25201411	CV090623	expressed protein [Arabidopsis thaliana]
CA1636	25201412	CV090624	myb family protein -related [Arabidopsis thaliana]
CA1636	25201412	CV090624	myb family protein -related [Arabidopsis thaliana]
CA1636	25201412	CV090624	myb family protein -related [Arabidopsis thaliana]
CA1636	25201412	CV090624	myb family protein -related [Arabidopsis thaliana]
CA1636	25201412	CV090624	myb family protein -related [Arabidopsis thaliana]
CA1636	25201412	CV090624	myb family protein -related [Arabidopsis thaliana]
CA1637	25201413	CV090625	B1142C05.34 [Oryza sativa (japonica cultivar-group)]
CA1637	25201413	CV090625	B1142C05.34 [Oryza sativa (japonica cultivar-group)]
CA1637	25201413	CV090625	B1142C05.34 [Oryza sativa (japonica cultivar-group)]
CA1637	25201413	CV090625	B1142C05.34 [Oryza sativa (japonica cultivar-group)]
CA1637	25201413	CV090625	B1142C05.34 [Oryza sativa (japonica cultivar-group)]
CA1637	25201413	CV090625	B1142C05.34 [Oryza sativa (japonica cultivar-group)]
CA1638	25201414	CV090626	putative RNA helicase [Oryza sativa]
CA1638	25201414	CV090626	putative RNA helicase [Oryza sativa]
CA1638	25201414	CV090626	putative RNA helicase [Oryza sativa]
CA1638	25201414	CV090626	putative RNA helicase [Oryza sativa]
CA1638	25201414	CV090626	putative RNA helicase [Oryza sativa]
CA1638	25201414	CV090626	putative RNA helicase [Oryza sativa]
CA1639	25201415	CV090627	hypothetical protein [Bacillus megaterium]
CA1639	25201415	CV090627	hypothetical protein [Bacillus megaterium]
CA1639	25201415	CV090627	hypothetical protein [Bacillus megaterium]
CA1639	25201415	CV090627	hypothetical protein [Bacillus megaterium]
CA1639	25201415	CV090627	hypothetical protein [Bacillus megaterium]
CA1639	25201415	CV090627	hypothetical protein [Bacillus megaterium]
CA164	20189928	CF810483	GMFP4 ( and  ESTs)
CA164	20189928	CF810483	GMFP4 ( and  ESTs)
CA164	20189928	CF810483	GMFP4 ( and  ESTs)
CA164	20189928	CF810483	GMFP4 ( and  ESTs)
CA164	20189928	CF810483	GMFP4 ( and  ESTs)
CA164	20189928	CF810483	GMFP4 ( and  ESTs)
CA1642	25201416	CV090628	putative cytochrome P450 [Matthiola incana]
CA1642	25201416	CV090628	putative cytochrome P450 [Matthiola incana]
CA1642	25201416	CV090628	putative cytochrome P450 [Matthiola incana]
CA1642	25201416	CV090628	putative cytochrome P450 [Matthiola incana]
CA1642	25201416	CV090628	putative cytochrome P450 [Matthiola incana]
CA1642	25201416	CV090628	putative cytochrome P450 [Matthiola incana]
CA1643	25201417	CV090629	Eukaryotic translation initiation factor 2 beta subunit
CA1643	25201417	CV090629	Eukaryotic translation initiation factor 2 beta subunit
CA1643	25201417	CV090629	Eukaryotic translation initiation factor 2 beta subunit
CA1643	25201417	CV090629	Eukaryotic translation initiation factor 2 beta subunit
CA1643	25201417	CV090629	Eukaryotic translation initiation factor 2 beta subunit
CA1643	25201417	CV090629	Eukaryotic translation initiation factor 2 beta subunit
CA1644	25201418	CV090630	glycerophosphodiester phosphodiesterase -related [Arabidopsis
CA1644	25201418	CV090630	glycerophosphodiester phosphodiesterase -related [Arabidopsis
CA1644	25201418	CV090630	glycerophosphodiester phosphodiesterase -related [Arabidopsis
CA1644	25201418	CV090630	glycerophosphodiester phosphodiesterase -related [Arabidopsis
CA1644	25201418	CV090630	glycerophosphodiester phosphodiesterase -related [Arabidopsis
CA1644	25201418	CV090630	glycerophosphodiester phosphodiesterase -related [Arabidopsis
CA1646	25201419	CV090631	putative early light induced protein [Arachis hypogaea]
CA1646	25201419	CV090631	putative early light induced protein [Arachis hypogaea]
CA1646	25201419	CV090631	putative early light induced protein [Arachis hypogaea]
CA1646	25201419	CV090631	putative early light induced protein [Arachis hypogaea]
CA1646	25201419	CV090631	putative early light induced protein [Arachis hypogaea]
CA1646	25201419	CV090631	putative early light induced protein [Arachis hypogaea]
CA1647	25201420	CV090632	OSJNBa0008A08.7 [Oryza sativa (japonica cultivar-group)]
CA1647	25201420	CV090632	OSJNBa0008A08.7 [Oryza sativa (japonica cultivar-group)]
CA1647	25201420	CV090632	OSJNBa0008A08.7 [Oryza sativa (japonica cultivar-group)]
CA1647	25201420	CV090632	OSJNBa0008A08.7 [Oryza sativa (japonica cultivar-group)]
CA1647	25201420	CV090632	OSJNBa0008A08.7 [Oryza sativa (japonica cultivar-group)]
CA1647	25201420	CV090632	OSJNBa0008A08.7 [Oryza sativa (japonica cultivar-group)]
CA1648	25201421	CV090633	gene_id:MMN10.5~unknown protein [Arabidopsis thaliana]
CA1648	25201421	CV090633	gene_id:MMN10.5~unknown protein [Arabidopsis thaliana]
CA1648	25201421	CV090633	gene_id:MMN10.5~unknown protein [Arabidopsis thaliana]
CA1648	25201421	CV090633	gene_id:MMN10.5~unknown protein [Arabidopsis thaliana]
CA1648	25201421	CV090633	gene_id:MMN10.5~unknown protein [Arabidopsis thaliana]
CA1648	25201421	CV090633	gene_id:MMN10.5~unknown protein [Arabidopsis thaliana]
CA1649	25201422	CV090634	AT4g05320/C17L7_240 [Arabidopsis thaliana]
CA1649	25201422	CV090634	AT4g05320/C17L7_240 [Arabidopsis thaliana]
CA1649	25201422	CV090634	AT4g05320/C17L7_240 [Arabidopsis thaliana]
CA1649	25201422	CV090634	AT4g05320/C17L7_240 [Arabidopsis thaliana]
CA1649	25201422	CV090634	AT4g05320/C17L7_240 [Arabidopsis thaliana]
CA1649	25201422	CV090634	AT4g05320/C17L7_240 [Arabidopsis thaliana]
CA165	20189929	CF810484	Putative protein
CA165	20189929	CF810484	Putative protein
CA165	20189929	CF810484	Putative protein
CA165	20189929	CF810484	Putative protein
CA165	20189929	CF810484	Putative protein
CA165	20189929	CF810484	Putative protein
CA1650	25201423	CV090635	similar to mucin 11 [Homo sapiens]
CA1650	25201423	CV090635	similar to mucin 11 [Homo sapiens]
CA1650	25201423	CV090635	similar to mucin 11 [Homo sapiens]
CA1650	25201423	CV090635	similar to mucin 11 [Homo sapiens]
CA1650	25201423	CV090635	similar to mucin 11 [Homo sapiens]
CA1650	25201423	CV090635	similar to mucin 11 [Homo sapiens]
CA1651	25201424	CV090636	hypothetical protein [Plasmodium yoelii yoelii]
CA1651	25201424	CV090636	hypothetical protein [Plasmodium yoelii yoelii]
CA1651	25201424	CV090636	hypothetical protein [Plasmodium yoelii yoelii]
CA1651	25201424	CV090636	hypothetical protein [Plasmodium yoelii yoelii]
CA1651	25201424	CV090636	hypothetical protein [Plasmodium yoelii yoelii]
CA1651	25201424	CV090636	hypothetical protein [Plasmodium yoelii yoelii]
CA1652	25201425	CV090637	DEAD/DEAH box helicase, putative [Arabidopsis thaliana]
CA1652	25201425	CV090637	DEAD/DEAH box helicase, putative [Arabidopsis thaliana]
CA1652	25201425	CV090637	DEAD/DEAH box helicase, putative [Arabidopsis thaliana]
CA1652	25201425	CV090637	DEAD/DEAH box helicase, putative [Arabidopsis thaliana]
CA1652	25201425	CV090637	DEAD/DEAH box helicase, putative [Arabidopsis thaliana]
CA1652	25201425	CV090637	DEAD/DEAH box helicase, putative [Arabidopsis thaliana]
CA1654	25201426	CV090638	acetyl-CoA carboxylase (EC 6.4.1.2), biotin carboxylase - common
CA1654	25201426	CV090638	acetyl-CoA carboxylase (EC 6.4.1.2), biotin carboxylase - common
CA1654	25201426	CV090638	acetyl-CoA carboxylase (EC 6.4.1.2), biotin carboxylase - common
CA1654	25201426	CV090638	acetyl-CoA carboxylase (EC 6.4.1.2), biotin carboxylase - common
CA1654	25201426	CV090638	acetyl-CoA carboxylase (EC 6.4.1.2), biotin carboxylase - common
CA1654	25201426	CV090638	acetyl-CoA carboxylase (EC 6.4.1.2), biotin carboxylase - common
CA1655	25201427	CV090639	expressed protein [Arabidopsis thaliana]
CA1655	25201427	CV090639	expressed protein [Arabidopsis thaliana]
CA1655	25201427	CV090639	expressed protein [Arabidopsis thaliana]
CA1655	25201427	CV090639	expressed protein [Arabidopsis thaliana]
CA1655	25201427	CV090639	expressed protein [Arabidopsis thaliana]
CA1655	25201427	CV090639	expressed protein [Arabidopsis thaliana]
CA1657	25201428	CV090640	microtubule bundling polypeptide TMBP200 [Nicotiana tabacum]
CA1657	25201428	CV090640	microtubule bundling polypeptide TMBP200 [Nicotiana tabacum]
CA1657	25201428	CV090640	microtubule bundling polypeptide TMBP200 [Nicotiana tabacum]
CA1657	25201428	CV090640	microtubule bundling polypeptide TMBP200 [Nicotiana tabacum]
CA1657	25201428	CV090640	microtubule bundling polypeptide TMBP200 [Nicotiana tabacum]
CA1657	25201428	CV090640	microtubule bundling polypeptide TMBP200 [Nicotiana tabacum]
CA1658	25201429	CV090641	expressed protein [Arabidopsis thaliana]
CA1658	25201429	CV090641	expressed protein [Arabidopsis thaliana]
CA1658	25201429	CV090641	expressed protein [Arabidopsis thaliana]
CA1658	25201429	CV090641	expressed protein [Arabidopsis thaliana]
CA1658	25201429	CV090641	expressed protein [Arabidopsis thaliana]
CA1658	25201429	CV090641	expressed protein [Arabidopsis thaliana]
CA1659	25201430	CV090642	elicitor-inducible protein EIG-J7 [Capsicum annuum]
CA1659	25201430	CV090642	elicitor-inducible protein EIG-J7 [Capsicum annuum]
CA1659	25201430	CV090642	elicitor-inducible protein EIG-J7 [Capsicum annuum]
CA1659	25201430	CV090642	elicitor-inducible protein EIG-J7 [Capsicum annuum]
CA1659	25201430	CV090642	elicitor-inducible protein EIG-J7 [Capsicum annuum]
CA1659	25201430	CV090642	elicitor-inducible protein EIG-J7 [Capsicum annuum]
CA1660	25201431	CV090643	ATP8 [Arabidopsis thaliana]
CA1660	25201431	CV090643	ATP8 [Arabidopsis thaliana]
CA1660	25201431	CV090643	ATP8 [Arabidopsis thaliana]
CA1660	25201431	CV090643	ATP8 [Arabidopsis thaliana]
CA1660	25201431	CV090643	ATP8 [Arabidopsis thaliana]
CA1660	25201431	CV090643	ATP8 [Arabidopsis thaliana]
CA1661	25201432	CV090644	hydrolase, alpha/beta fold family [Arabidopsis thaliana]
CA1661	25201432	CV090644	hydrolase, alpha/beta fold family [Arabidopsis thaliana]
CA1661	25201432	CV090644	hydrolase, alpha/beta fold family [Arabidopsis thaliana]
CA1661	25201432	CV090644	hydrolase, alpha/beta fold family [Arabidopsis thaliana]
CA1661	25201432	CV090644	hydrolase, alpha/beta fold family [Arabidopsis thaliana]
CA1661	25201432	CV090644	hydrolase, alpha/beta fold family [Arabidopsis thaliana]
CA1662	25201433	CV090645	NA
CA1662	25201433	CV090645	NA
CA1662	25201433	CV090645	NA
CA1662	25201433	CV090645	NA
CA1662	25201433	CV090645	NA
CA1662	25201433	CV090645	NA
CA1663	25201434	CV090646	hydantoin utilization protein-related [Arabidopsis thaliana]
CA1663	25201434	CV090646	hydantoin utilization protein-related [Arabidopsis thaliana]
CA1663	25201434	CV090646	hydantoin utilization protein-related [Arabidopsis thaliana]
CA1663	25201434	CV090646	hydantoin utilization protein-related [Arabidopsis thaliana]
CA1663	25201434	CV090646	hydantoin utilization protein-related [Arabidopsis thaliana]
CA1663	25201434	CV090646	hydantoin utilization protein-related [Arabidopsis thaliana]
CA1664	25201435	CV090647	putative cytochrome c oxidoreductase [Arabidopsis thaliana]
CA1664	25201435	CV090647	putative cytochrome c oxidoreductase [Arabidopsis thaliana]
CA1664	25201435	CV090647	putative cytochrome c oxidoreductase [Arabidopsis thaliana]
