gene_id,gi,genbank_locus_tag,gene_start,gene_stop,definition
SMu0382,24378914,SMU.421,392712,395462,translation initiation factor IF-2
SMu0383,24378915,SMU.422,395696,396046,ribosome binding factor A
SMu0384,24378916,SMU.423,396531,396761,possible bacteriocin
SMu0385,24378917,SMU.424,397152,397595,negative transcriptional regulator, CopY
SMu0386,24378918,SMU.426,397592,399820,copper-transporting ATPase
SMu0387,24378919,SMU.427,399833,400036,copper chaperone
SMu0388,24378920,SMU.428,400277,401104,conserved hypothetical protein, Cof family
SMu0389,24378921,SMU.429c,401702,401211,hypothetical protein
SMu0390,24378922,SMU.431,402054,402923,ABC transporter, ATP-binding protein (hemolysin/cytolysin)
SMu0391,24378923,SMU.432,402924,403781,ABC transporter, permease and solute binding protein
SMu0392,24378924,SMU.433,403795,404253,transcriptional regulator
SMu0393,24378925,SMU.434,404267,404665,conserved hypothetical protein
SMu0394,24378926,SMU.435,404987,406165,N-acetylglucosamine-6-phosphate deacetylase
SMu0395,24378927,SMU.436c,407086,406250,transposase, IS3-Spn1
SMu0396,NULL,SMU.437c,407656,407081,transposase, IS861-associated
SMu0397,24378928,SMU.438c,412040,407739,(R)-2-hydroxyglutaryl-CoA dehydratase activator-related protein
SMu0398,24378929,SMU.439,412321,412932,transcriptional regulator
SMu0399,24378930,SMU.440,413049,413465,hypothetical protein
SMu0400,24378931,SMU.441,413462,413920,transcriptional regulator
SMu0401,24378932,SMU.442,413913,414323,conserved hypothetical protein
SMu0402,24378933,SMU.444,414522,414629,hypothetical protein
SMu0403,24378934,SMU.445,414774,415691,glycyl-tRNA synthetase alpha subunit
SMu0404,24378935,SMU.446,415694,417733,glycyl tRNA synthetase beta subunit
SMu0405,24378936,SMU.447,417839,418093,conserved hypothetical protein
SMu0406,24378937,SMU.448,418217,418597,conserved hypothetical protein
SMu0407,24378938,SMU.449,419086,419895,gamma-glutamyl kinase
SMu0408,24378939,SMU.450,419899,421149,gamma-glutamyl phosphate reductase
SMu0409,24378940,SMU.451,421261,421365,hypothetical protein
SMu0410,24378941,SMU.453,421452,422402,S-adenosyl-methyltransferase, MraW family
SMu0411,24378942,SMU.454,422412,422735,cell division protein
SMu0412,24378943,SMU.455,422739,424988,penicillin-binding protein 2X
SMu0413,24378944,SMU.456,424990,426009,phospho-N-acetylmuramoyl-pentapeptide-transferase
SMu0414,24378945,SMU.457,426103,426270,hypothetical protein
SMu0415,24378946,SMU.458,426390,427733,ATP-dependent RNA helicase; DEAD/DEAH family
SMu0416,24378947,SMU.459,427974,428795,amino acid ABC transporter, substrate-binding protein
SMu0417,24378948,SMU.460,428818,429621,amino acid ABC transporter, permease
SMu0418,24378949,SMU.461,429621,430364,amino acid ABC transporter, ATP-binding protein
SMu0419,24378950,SMU.462,430413,430637,Streptococcus-specific protein
SMu0420,24378951,SMU.463,430700,431614,thioredoxin reductase (NADPH)
SMu0421,24378952,SMU.464,432078,433538,nicotinate phosphoribosyltransferase
SMu0422,24378953,SMU.465,433535,434359,NAD(+) synthetase (nitrogen-regulatory protein)
SMu0423,24378954,SMU.466,434472,435806,cysteine aminopeptidase C
SMu0424,NULL,SMU.467c,438045,435922,penicillin-binding protein 1a
SMu0425,NULL,SMU.469c,438739,438146,recombination protein U
SMu0426,24378957,SMU.470,438819,439340,conserved hypothetical protein
SMu0427,24378958,SMU.471,439446,439784,conserved hypothetical protein
SMu0428,24378959,SMU.472,440234,441388,conserved hypothetical protein, RNA methylase family
SMu0429,24378960,SMU.473,441479,443044,conserved hypothetical protein
SMu0430,NULL,SMU.474c,443687,443205,S-ribosylhomocysteine lyase (S-ribosylhomocysteinase)
SMu0431,24378962,SMU.475,443832,445439,conserved hypothetical protein
SMu0432,24378963,SMU.478,445886,446518,guanylate kinase
SMu0433,24378964,SMU.479,446542,446859,DNA-directed RNA polymerase, omega subunit
SMu0434,24378965,SMU.480,446901,449285,primosomal replication factor Y (primosomal protein N')
SMu0435,24378966,SMU.481,449333,450280,methionyl-tRNA formyltransferase
SMu0436,24378967,SMU.482,450270,451583,RNA-binding Sun protein; possible rRNA methylase
SMu0437,24378968,SMU.483,451622,452365,phosphoprotein phosphatase (pppL protein)
SMu0438,24378969,SMU.484,452362,454212,serine/threonine protein kinase
SMu0439,24378970,SMU.485,454530,455348,conserved hypothetical protein
SMu0440,24378971,SMU.486,455345,456349,two-component sensor histidine kinase
SMu0441,24378972,SMU.487,456336,456983,two-component response regulator
SMu0442,24378973,SMU.488,457027,458442, hydrolase;  possible peptidyl-prolyl cis-trans isomerase
SMu0443,24378974,SMU.489,458420,458812,polyribonucleotide nucleotidyltransferase (general stress protein 13)
SMu0444,NULL,SMU.490c,459667,458891,pyruvate formate-lyase activating enzyme
SMu0445,24378976,SMU.491,459798,460544,transcriptional regulator, DeoR family
SMu0446,24378977,SMU.493,460793,463249,formate acetyltransferase (pyruvate-formate lyase)
SMu0447,24378978,SMU.494,463268,463936,transaldolase family protein
SMu0448,24378979,SMU.495,463971,465065,glycerol dehydrogenase
SMu0449,NULL,SMU.496c,466325,465399,cysteine synthetase A
SMu0450,24378981,SMU.497c,467045,466416,conserved hypothetical protein
SMu0451,24378982,SMU.498,467118,468419,late competence protein F
SMu0452,24378983,SMU.499,468416,469081,late competence protein required for DNA uptake
SMu0453,24378984,SMU.500,469160,469708,ribosome-associated protein
SMu0454,24378985,SMU.501,469832,470926,hypothetical protein
SMu0455,24378986,SMU.502,470946,472646,conserved hypothetical protein
SMu0456,24378987,SMU.503c,473361,472726,hypothetical protein
SMu0457,24378988,SMU.504,473630,474487,site-specific DNA-adenine methyltransferase
SMu0458,24378989,SMU.505,474477,475286,adenine-specific DNA methylase (DpnIIB)
SMu0459,24378990,SMU.506,475270,476208,type II restriction endonuclease
SMu0460,24378991,SMU.507,476732,477478,transcriptional regulator, DeoR family
SMu0461,24378992,SMU.508,477490,478314,conserved hypothetical protein (possible hydrolase)
SMu0462,24378993,SMU.509,478383,479447,conserved hypothetical protein
SMu0463,24378994,SMU.510c,480157,479522,deoxyribonuclease
SMu0464,24378995,SMU.512c,480740,480285,conserved hypothetical protein
SMu0465,24378996,SMU.513,481136,481369,hypothetical protein
SMu0466,24378997,SMU.514,481590,482156,transcriptional regulator, AcrR family
SMu0467,24378998,SMU.515,482277,484052,67 kDa myosin-crossreactive antigen
SMu0468,24378999,SMU.516,484636,485175,conserved hypothetical protein, N6 adenine-specific DNA methylase signature domain
SMu0469,24379000,SMU.517,485165,485665,phosphopantetheine adenylyltransferase; lipopolysaccharide core biosynthesis protein
SMu0470,24379001,SMU.518,485643,486683,conserved hypothetical protein
SMu0471,24379002,SMU.520,486756,488087,phosphodiesterase-related protein
SMu0472,24379003,SMU.521,488084,488632,conserved hypothetical protein
SMu0473,24379004,SMU.522,488629,489714,conserved hypothetical protein
SMu0474,24379005,SMU.523,489714,490250,conserved hypothetical protein, VanZ-like family
SMu0475,24379006,SMU.524,490389,492152,ABC transporter ATP-binding / permease protein
SMu0476,24379007,SMU.525,492142,493884,ABC transporter ATP-binding / permease protein
SMu0477,24379008,SMU.526c,494787,493951,transcriptional regulator
SMu0478,24379009,SMU.527,495084,496118,conserved hypothetical protein
SMu0479,24379010,SMU.528c,496538,496257,conserved hypothetical protein
SMu0480,24379011,SMU.529,496432,496545,hypothetical protein
SMu0481,24379012,SMU.530c,497462,496725,conserved hypothetical protein
SMu0482,24379013,SMU.531,498134,498445,chorismate mutase; possible prephenate dehydrogenase
SMu0483,24379014,SMU.532,498454,499815,anthranilate synthase, component I
SMu0484,24379015,SMU.533,499812,500375,anthranilate synthase, component II
SMu0485,24379016,SMU.534,500396,501403,phosphoribosyl anthranilate transferase
SMu0486,24379017,SMU.535,501396,502163,indole-3-glycerol phosphate synthase
SMu0487,24379018,SMU.536,502150,502731,phosphoribosylanthranilate isomerase
SMu0488,24379019,SMU.537,502728,503939,tryptophan synthase, beta subunit
SMu0489,24379020,SMU.538,503943,504725,tryptophan synthase, alpha subunit
SMu0490,24379021,SMU.539c,505618,504962,prepilin peptidase type IV
SMu0491,24379022,SMU.540,505719,506246,peroxide resistance protein / iron binding protein
SMu0492,24379023,SMU.541,506453,506659,conserved hypothetical protein
SMu0493,24379024,SMU.542,506652,507623,glucose kinase
SMu0494,24379025,SMU.543,507633,508022,conserved hypothetical protein
SMu0495,24379026,SMU.545,508090,508230,hypothetical protein
SMu0496,24379027,SMU.546,508256,510100,GTP-binding protein (tyrosine phosphorylated protein A); possible elongation factor
SMu0497,24379028,SMU.547,510129,510383,conserved hypothetical protein
SMu0498,24379029,SMU.548,510572,511927,D-glutamic acid adding enzyme MurD; UDP-N-acetylmuramoylalanine--D-glutamate ligase
SMu0499,24379030,SMU.549,511930,513015,undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase
SMu0500,24379031,SMU.550,513015,514139,cell division protein
SMu0501,24379032,SMU.551,514291,515652,cell division protein FtsA
SMu0502,24379033,SMU.552,515676,516980,cell division protein FtsZ
SMu0503,24379034,SMU.553,516983,517654,conserved hypothetical protein
SMu0504,24379035,SMU.554,517668,518243,conserved hypothetical protein
SMu0505,24379036,SMU.555,518243,518503,conserved hypothetical protein
SMu0506,24379037,SMU.556,518507,519298,conserved hypothetical protein
SMu0507,24379038,SMU.557,519309,520124,cell division initiation protein
SMu0508,24379039,SMU.558,520634,523426,isoleucine-tRNA synthetase
SMu0509,24379040,SMU.560c,524525,524199,conserved hypothetical protein
SMu0510,24379041,SMU.561c,525083,524568,mutator protein, Nudix hydrolase, MutT family
SMu0511,NULL,SMU.562c,527395,525134,ATP-dependent protease ClpE
SMu0512,24379043,SMU.563,527652,528632,ornithine carbamoyltransferase
SMu0513,24379044,SMU.564,528709,528939,conserved hypothetical protein
SMu0514,24379045,SMU.565c,529843,529007,transposase (ISIS861)
SMu0515,24379046,SMU.566c,530355,529837,transposase, IS861-associated
SMu0516,24379047,SMU.567,530592,531278,amino acid (glutamine) ABC transporter permease
SMu0517,24379048,SMU.568,531278,532012,glutamine ABC transporter, ATP-binding protein
SMu0518,24379049,SMU.569,532205,532681,ferrous ion transport protein A
SMu0519,24379050,SMU.570,532678,534828,ferrous ion transport protein B
SMu0520,24379051,SMU.571,534841,534993,hypothetical protein
SMu0521,24379052,SMU.572,535113,535967,bifunctional protein: methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase
SMu0522,24379053,SMU.573,535964,536797,conserved hypothetical protein
SMu0523,24379054,SMU.574c,537854,537123,effector of murein hydrolase 
SMu0524,24379055,SMU.575c,538323,537856,murein hydrolase regulator 
SMu0525,NULL,SMU.576c,539233,538499,response regulator
SMu0526,NULL,SMU.577c,540956,539214,sensor histidine kinase
SMu0527,24379058,SMU.580,541399,542742,exodeoxyribonuclease VII, large subunit
SMu0528,24379059,SMU.581,542717,542938,exodeoxyribonuclease VII, small subunit
SMu0529,24379060,SMU.582,542935,543804,farnesyl diphosphate synthase (geranyltranstransferase)
SMu0530,24379061,SMU.583,543797,544624,probable hemolysin A
SMu0531,24379062,SMU.584,544611,545075,arginine repressor
SMu0532,24379063,SMU.585,545092,546750,DNA repair and genetic recombination protein
SMu0533,24379064,SMU.586,546972,547811,conserved hypothetical protein, DevG family
SMu0534,24379065,SMU.587,547804,548661,lipase/acylhydrolase with GDSL-like domain
SMu0535,24379066,SMU.588,548636,549235,conserved hypothetical protein
SMu0536,24379067,SMU.589,549332,549607,histone-like DNA-binding protein
SMu0537,24379068,SMU.590c,549899,549699,transposase fragment
SMu0538,24379069,SMU.591c,551145,550027,conserved hypothetical protein
SMu0539,24379070,SMU.592c,551793,551152,transcriptional regulator
SMu0540,24379071,SMU.593,552056,552532,ferric uptake regulator protein FurR
SMu0541,24379072,SMU.594,552595,552750,hypothetical protein
SMu0542,NULL,SMU.595c,553748,552813,dihydroorotate dehydrogenase (dihydroorotate oxidase)
SMu0543,24379074,SMU.596,553966,554658,phosphoglycerate mutase
SMu0544,24379075,SMU.597,554905,556983,penicillin-binding protein 2b
SMu0545,24379076,SMU.598,556993,557592,recombination protein
SMu0546,24379077,SMU.599,557804,558853,D-alanine-D-alanine ligase
SMu0547,24379078,SMU.600c,559585,559025,conserved hypothetical protein
SMu0548,24379079,SMU.602,559938,560888,sodium-dependent transporter
SMu0549,24379080,SMU.603,560966,562324,D-Ala-D-Ala adding enzyme; UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanyl ligase (UDP-N-acetylmuramyl pentapeptide synthase)
SMu0550,24379081,SMU.604,562431,562706,conserved hypothetical protein
SMu0551,24379082,SMU.605,562712,563263,hypothetical protein
SMu0552,24379083,SMU.606,563276,564523,hypothetical protein
SMu0553,24379084,SMU.607,564579,565262,conserved hypothetical protein
SMu0554,24379085,SMU.608,565446,566990,peptide chain release factor 3 ; translation elongation and release factor
SMu0555,24379086,SMU.609,567244,569079,cell wall protein precursor
SMu0556,24379087,SMU.610,569317,574005,cell surface antigen
SMu0557,24379088,SMU.611,574295,575848,ATP-dependent RNA helicase/DEAD family
SMu0558,24379089,SMU.613,576338,576616,hypothetical protein
SMu0559,24379090,SMU.614,576710,576850,hypothetical protein
SMu0560,24379091,SMU.616,577901,578149,hypothetical protein
SMu0561,24379092,SMU.618,578253,578552,hypothetical protein
SMu0562,24379093,SMU.620,579129,579287,hypothetical protein
SMu0563,24379094,SMU.621c,580586,579567,conserved hypothetical protein
SMu0564,24379095,SMU.622c,581144,580632,conserved hypothetical protein
SMu0565,24379096,SMU.623c,582168,581233,polysaccharide deacetylase 
SMu0566,24379097,SMU.624,582307,583059,1-acylglycerol-3-phosphate O-acyltransferase
SMu0567,24379098,SMU.625,583200,583877,competence protein
SMu0568,24379099,SMU.626,583867,586101,competence protein; possible integral membrane protein
SMu0569,24379100,SMU.627,586287,586913,conserved hypothetical protein
SMu0570,24379101,SMU.628,587081,588121,DNA polymerase III, delta subunit
SMu0571,24379102,SMU.629,588268,588879,superoxide dismutase
SMu0572,24379103,SMU.630,589431,590486,conserved hypothetical protein
SMu0573,24379104,SMU.631,590651,591409,conserved hypothetical protein
SMu0574,24379105,SMU.632,591478,591942,transcriptional regulator
SMu0575,24379106,SMU.633,591989,593218,thioesterase
SMu0576,NULL,SMU.634c,594432,593404,S-adenosylmethionine--tRNA ribosyltransferase-isomerase (queuosine (Q) biosynthesis protein)
SMu0577,24379108,SMU.635,594570,595289,conserved hypothetical protein
SMu0578,24379109,SMU.636,595419,596120,glucosamine-6-phosphate isomerase
SMu0579,24379110,SMU.637c,596816,596313,hypothetical protein
SMu0580,24379111,SMU.638,597135,597851,ribosomal small subunit pseudouridine synthase A
SMu0581,24379112,SMU.639,597866,598366,N-terminal acetyltransferase
SMu0582,24379113,SMU.640c,599829,598456,transcriptional regulator
SMu0583,24379114,SMU.641,599957,600925,oxidoreductase
SMu0584,24379115,SMU.642,601170,601451,hypothetical protein
SMu0585,24379116,SMU.643,601557,602450,acetyl esterase/ sugar hydrolase
SMu0586,24379117,SMU.644,602758,603696,competence protein CoiA
SMu0587,24379118,SMU.645,603718,605517,PepB oligopeptidase
SMu0588,24379119,SMU.646,605730,606347,hydrolase (possible phosphoglycolate phosphatase)
SMu0589,24379120,SMU.647,606397,607104,O-methyltransferase
SMu0590,24379121,SMU.648,607166,608167,protease maturation protein; possible peptidylprolyl isomerase
SMu0591,24379122,SMU.649,608406,608906,conserved hypothetical protein
SMu0592,24379123,SMU.650,609121,611739,alanyl-tRNA synthetase (alanine--tRNA ligase)
SMu0593,24379124,SMU.651c,612979,611951,ABC transporter, periplasmic substrate-binding protein
SMu0594,24379125,SMU.652c,613748,612999,ABC transporter, ATP-binding protein (possible nitrate transport system)
SMu0595,24379126,SMU.653c,614728,613742,ABC transporter, permease protein (possible taurine transport system permease)
SMu0596,24379127,SMU.654,614935,615639,ABC transporter, ATP-binding protein
MI0009,NULL,NULL,14,715,MutF protein from strain CH43; ABC transporter ATP binding
SMu0597,24379128,SMU.655,615641,615889,mutE like protein, possibly bacteriocin associated
SMu0598,24379129,SMU.656,615874,616389,ABC transporter, permease,  possibly bacteriocin associated
SMu0599,24379130,SMU.657,616389,617135,ABC transporter, permease, possibly bacteriocin associated
SMu0600,24379131,SMU.658,617511,618350,conserved hypothetical protein
SMu0601,24379132,SMU.659,618390,619049,response regulator
SMu0602,24379133,SMU.660,619040,620422,histidine kinase
SMu0603,24379134,SMU.661,620728,620973,transcriptional regulator
SMu0604,24379135,SMU.662,621118,621807,conserved hypothetical protein (possible membrane protein)
SMu0605,24379136,SMU.663,621942,622964,N-acetyl-gamma-glutamyl-phosphate reductase (N-acetyl-glutamate-gamma-semialdehyde dehydrogenase)
SMu0606,24379137,SMU.664,623123,624316,ornithine acetyltransferase / N-acetylglutamate synthase
SMu0607,24379138,SMU.665,624345,625082,acetylglutamate kinase
SMu0608,24379139,SMU.666,625218,626357,N-acetylornithine aminotransferase
SMu0609,NULL,SMU.667c,627440,626481,ribonucleotide reductase, small subunit
SMu0610,24379141,SMU.668c,630162,628003,ribonucleotide reductase, large subunit
SMu0611,24379142,SMU.669c,630586,630362,glutaredoxin
SMu0612,24379143,SMU.670,630841,633507,aconitate hydratase; aconitase A
SMu0613,24379144,SMU.671,633512,634630,citrate synthase
SMu0614,24379145,SMU.672,634632,635813,isocitrate dehydrogenase
SMu0615,24379146,SMU.673,636481,637278,conserved hypothetical protein
SMu0616,24379147,SMU.674,637444,637707,phosphotransferase system phosphohistidine-containing protein
SMu0617,24379148,SMU.675,637712,639445,phosphoenolpyruvate-protein phosphotransferase (enzyme I)
SMu0618,24379149,SMU.676,639675,641102,NADP-dependent non-phosphorylating glyceraldehyde-3-phosphate dehydrogenase
SMu0619,24379150,SMU.677,641773,642165,transcriptional regulator, MerR family
SMu0620,24379151,SMU.678,642165,643007,oxidoreductase, aldo/keto reductase family
SMu0621,24379152,SMU.679,643017,643883,oxidoreductase, aldo/keto reductase family
SMu0622,24379153,SMU.680,643925,644263,carboxymuconolactone decarboxylase family protein
SMu0623,24379154,SMU.681,644674,644859,conserved hypothetical protein
SMu0624,24379155,SMU.682,645162,647720,hypothetical protein
SMu0625,24379156,SMU.683,647736,651149,conserved hypothetical protein
SMu0626,24379157,SMU.684,651153,651842,hypothetical protein
SMu0627,24379158,SMU.685,651839,652240,hypothetical protein
SMu0628,24379159,SMU.687c,652832,652698,hypothetical protein
SMu0629,24379160,SMU.688,652915,653412,conserved hypothetical protein
SMu0630,24379161,SMU.689,653658,656597,autolysin/endolysin
SMu0631,24379162,SMU.690,656618,657205,hypothetical protein
SMu0632,24379163,SMU.691,657298,658518,peptidase T (tripeptidase)
SMu0633,24379164,SMU.692,658574,659059,possible pore-forming peptide
SMu0634,24379165,SMU.694c,659245,659051,ferredoxin
SMu0635,24379166,SMU.695,659291,659773,conserved hypothetical protein
SMu0636,24379167,SMU.696,659784,660467,cytidylate kinase
SMu0637,24379168,SMU.697,660634,661164,translation initiation factor IF-3
SMu0638,24379169,SMU.698,661199,661399,50S ribosomal protein L35
SMu0639,24379170,SMU.699,661444,661803,50S ribosomal protein L20
SMu0640,24379171,SMU.700c,662636,662010,phosphoglycerate mutase
SMu0641,24379172,SMU.701c,663012,662644,integral membrane protein
SMu0642,24379173,SMU.702c,663490,663017,transcriptional regulator
SMu0643,24379174,SMU.703c,664329,663487,conserved hypothetical protein
SMu0644,24379175,SMU.704c,665356,664373,autolysin
SMu0645,24379176,SMU.706c,666060,665446,conserved hypothetical protein
SMu0646,24379177,SMU.707c,667065,666217,endolysin
SMu0647,24379178,SMU.709,667339,667863,conserved hypothetical protein
SMu0648,24379179,SMU.711,667847,668236,conserved hypothetical protein
SMu0649,24379180,SMU.712,668354,671077,phosphoenolpyruvate carboxylase
SMu0650,24379181,SMU.713,671372,672649,cell division protein
SMu0651,24379182,SMU.714,672868,674064,translation elongation factor Tu
SMu0652,24379183,SMU.715,674360,675118,triosephosphate isomerase
SMu0653,NULL,SMU.716c,676560,675328,peptidoglycan branched peptide synthesis protein, alanine adding enzyme; methicillin resistance factor
SMu0654,NULL,SMU.717c,677777,676563,beta-lactam resistance factor murM; Serine / alanine adding enzyme
SMu0655,24379186,SMU.718c,678586,677777,hydrolase, haloacid dehalogenase-like family
SMu0656,24379187,SMU.719c,680138,678834,conserved hypothetical protein
SMu0657,24379188,SMU.720,680250,681128,conserved hypothetical protein
SMu0658,24379189,SMU.721,681190,681582,conserved hypothetical protein
SMu0659,24379190,SMU.722,681658,681837,hypothetical protein
SMu0660,24379191,SMU.723,681984,684665,calcium-transporting ATPase
SMu0661,24379192,SMU.724,684778,685518,glycerophosphodiester phosphodiesterase
SMu0662,24379193,SMU.725c,686740,685823,conserved hypothetical protein
SMu0663,24379194,SMU.727,686922,687305,mercury resistance operon negative regulator
SMu0664,24379195,SMU.728,687292,688176,oxidoreductase
SMu0665,24379196,SMU.730,688445,688657,conserved hypothetical protein
SMu0666,24379197,SMU.731,688659,689393,ABC transporter, ATP-binding protein
SMu0667,24379198,SMU.732,689393,690043,conserved hypothetical protein 
SMu0668,24379199,SMU.734,690257,690682,conserved hypothetical protein (probable membrane protein)
SMu0669,24379200,SMU.735,690868,691317,hypothetical protein
SMu0670,24379201,SMU.737,691383,692591,conserved hypothetical protein (possible alpha / beta superfamily hydrolase)
SMu0671,24379202,SMU.738,692912,693046,hypothetical protein
SMu0672,24379203,SMU.739c,694746,693190,hypothetical protein
SMu0673,24379204,SMU.741,695056,696114,conserved hypothetical protein
SMu0674,24379205,SMU.742,696178,697008,conserved hypothetical protein, Cof family
SMu0675,24379206,SMU.743,697005,697826,hydrolase, haloacid dehalogenase-like family
SMu0676,24379207,SMU.744,697828,699324,cell division protein FtsY; signal recognition particle (docking protein)
SMu0677,NULL,SMU.745c,700765,699401,drug-export protein; multidrug resistance protein
SMu0678,24379209,SMU.746c,701690,700875,conserved hypothetical protein
SMu0679,24379210,SMU.747c,702592,701687,conserved hypothetical protein, permease-like
SMu0680,24379211,SMU.748,702575,702751,hypothetical protein
SMu0681,24379212,SMU.750c,703579,703472,hypothetical protein
SMu0682,24379213,SMU.751,703952,706078,conserved hypothetical protein (possible transcriptional regulator)
SMu0683,24379214,SMU.752,706065,706502,conserved hypothetical protein
SMu0684,24379215,SMU.753,706590,706889,conserved hypothetical protein
SMu0685,24379216,SMU.754,707087,708022,HPr (serine) kinase/phosphatase
SMu0686,24379217,SMU.755,708015,708794,prolipoprotein diacylglyceryl transferase
SMu0687,24379218,SMU.756,708823,709218,conserved hypothetical protein
SMu0688,24379219,SMU.757,709218,709673,conserved hypothetical protein
SMu0689,24379220,SMU.758c,710058,709771,conserved hypothetical protein
SMu0690,24379221,SMU.759,710298,711224,protease, U32 family
SMu0691,24379222,SMU.761,711496,712782,protease; related to collagenase
SMu0692,24379223,SMU.764,712912,713472,alkyl hydroperoxide reductase, subunit C
SMu0693,24379224,SMU.765,713482,715014,alkyl hydroperoxide reductase, subunit F
SMu0694,24379225,SMU.766,715085,715603,conserved hypothetical protein, IS861 associated
SMu0695,24379226,SMU.767,715597,716433,transposase, IS861
SMu0696,24379227,SMU.768c,716797,716480,conserved hypothetical protein
SMu0697,24379228,SMU.769,716931,717143,conserved hypothetical protein
SMu0698,24379229,SMU.770c,718673,717333,manganese transporter/possible HitA ferric iron-binding periplasmic protein
SMu0699,24379230,SMU.771c,719347,719213,hypothetical protein
SMu0700,24379231,SMU.772,719789,721969,bifunctional glucan-binding protein D and lipase
SMu0701,24379232,SMU.773c,723844,722354,lysyl-tRNA synthetase
SMu0702,24379233,SMU.774,724249,725151,hydrolase, haloacid dehalogenase-like
SMu0703,24379234,SMU.775c,727610,725457,conserved hypothetical protein
SMu0704,24379235,SMU.776,727743,728900,conserved hypothetical protein; possible methyltransferase
SMu0705,24379236,SMU.777,728907,729584,3-dehydroquinate dehydratase
SMu0706,24379237,SMU.778,729574,730443,shikimate 5-dehydrogenase
SMu0707,24379238,SMU.779,730457,731524,3-dehydroquinate synthase
SMu0708,24379239,SMU.780,731526,732692,chorismate synthase
SMu0709,24379240,SMU.781,732756,733862,prephenate dehydrogenase
SMu0710,24379241,SMU.782,733873,734214,conserved hypothetical protein
SMu0711,24379242,SMU.784,734377,735660,3-phosphoshikimate 1-carboxyvinyltransferase (5-enolpyruvylshikimate-3-phosphate synthase)
SMu0712,24379243,SMU.785,735653,736129,shikimate kinase
SMu0713,24379244,SMU.786,736126,736950,prephenate dehydratase
SMu0714,24379245,SMU.787,736995,738383,transcriptional regulator, Psr-like protein
SMu0715,24379246,SMU.788,738555,739910,RNA methyltransferase, TrmA family
SMu0716,24379247,SMU.789,740430,741065,conserved hypothetical protein (similar to BlpY)
SMu0717,24379248,SMU.790,741646,741885,conserved hypothetical protein
SMu0718,24379249,SMU.791c,742105,741866,hypothetical protein
SMu0719,24379250,SMU.793,742327,742716,conserved hypothetical protein
SMu0720,24379251,SMU.794,742803,743180,hypothetical protein
SMu0721,24379252,SMU.795,743214,743621,conserved hypothetical protein (possible esterase)
SMu0722,24379253,SMU.796,743711,744544,conserved hypothetical protein (possible oxidoreductase)
SMu0723,24379254,SMU.797,744579,744797,conserved hypothetical protein
SMu0724,24379255,SMU.798c,745061,744933,hypothetical protein
SMu0725,24379256,SMU.799c,745623,745261,conserved hypothetical protein
SMu0726,24379257,SMU.800,745834,746076,conserved hypothetical protein
SMu0727,161486823,SMU.801,746130,747440,GTP-binding protein,  GTP1/Obg family
SMu0728,24379259,SMU.802,747742,747924,conserved hypothetical protein
SMu0729,24379260,SMU.803c,749466,747961,ABC transporter, ATP-binding protein
SMu0730,24379261,SMU.804,749791,751005,hypothetical protein
SMu0731,24379262,SMU.805c,752001,751261,amino acid ABC transporter, ATP-binding protein
SMu0732,24379263,SMU.806c,754187,752001,glutamine ABC transporter, permease and solute binding protein
SMu0733,24379264,SMU.807,754378,755295,conserved hypothetical protein (possible membrane protein)
SMu0734,24379265,SMU.809,755492,757483,excinuclease ABC (subunit B); helicase subunit of the DNA excision repair complex
SMu0735,24379266,SMU.811,757851,758147,hypothetical protein
SMu0736,24379267,SMU.812,758147,758260,hypothetical protein
SMu0737,24379268,SMU.813,758451,759341,hypothetical protein (possible transcriptional regulator)
SMu0738,24379269,SMU.814,759399,759863,MutT/nudix family protein
SMu0739,24379270,SMU.815,759971,760786,amino acid ABC transporter, periplasmic amino acid-binding protein
SMu0740,24379271,SMU.816,761002,762138,aminotransferase
SMu0741,24379272,SMU.817,762171,762986,amino acid ABC transporter, substrate-binding protein
SMu0742,24379273,SMU.818,763222,763398,30S ribosomal protein S21
SMu0743,NULL,SMU.819c,763939,763556,large conductance mechanosensitive channel
SMu0744,24379275,SMU.820,764099,765619,conserved hypothetical protein
SMu0745,24379276,SMU.821,765772,767550,DNA primase
SMu0746,24379277,SMU.822,767558,768673,RNA polymerase sigma-70 factor
SMu0747,24379278,SMU.823,768686,769021,conserved hypothetical protein
SMu0748,24379279,SMU.824,769338,770192,dTDP-4-keto-L-rhamnose reductase
SMu0749,24379280,SMU.825,770365,771453,polysaccharide biosynthesis protein; rhamnosyl transferase
SMu0750,24379281,SMU.826,771443,772378,rhamnosyltransferase; polysaccharide biosynthesis protein
SMu0751,24379282,SMU.827,772378,773187,polysaccharide ABC transporter membrane-spanning protein
SMu0752,24379283,SMU.828,773187,774404,ABC transporter ATP-binding protein
SMu0753,24379284,SMU.829,774427,775824,glycosyltransferase
SMu0754,24379285,SMU.830,775821,777572,polysaccharide biosynthesis protein
SMu0755,24379286,SMU.831,777569,780109,conserved hypothetical protein
SMu0756,24379287,SMU.832,780146,781462,hypothetical protein
SMu0757,24379288,SMU.833,781479,782405,glycosyltransferase, family 2
SMu0758,24379289,SMU.834,782537,783475,glycosyltransferase
